ID,License Plate Number,Enable or not,Start time,Expiration time,Time,Alarm,Blacklist or not,Unique code
1,AKL2872,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AKL2872
2,WD6556B,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WD6556B
3,WA9176,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA9176
4,W2255P,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W2255P
5,BNV5003,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNV5003
6,W2525K,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W2525K
7,WUY1622,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUY1622
8,WTR5750,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WTR5750
9,WWG2312,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWG2312
10,WXC8273,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXC8273
11,WQH9925,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQH9925
12,WD2800C,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WD2800C
13,WA8019E,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA8019E
14,VFN6154,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VFN6154
15,BGP3312,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BGP3312
16,WUS8950,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUS8950
17,WYB9529,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYB9529
18,WXU2289,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXU2289
19,BNM635,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNM635
20,BNM2638,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNM2638
21,BPM2641,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BPM2641
22,BLL9209,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BLL9209
23,KFF354,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,KFF354
24,PJM4528,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PJM4528
25,WQY7136,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQY7136
26,WPN8586,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WPN8586
27,WTW2017,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WTW2017
28,WC2810H,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC2810H
29,WLS9328,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WLS9328
30,WUT8173,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUT8173
31,WNC5282,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WNC5282
32,WNA2984,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WNA2984
33,BNU7926,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNU7926
34,WSS6381,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WSS6381
35,WMX1573,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WMX1573
36,WVK5599,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVK5599
37,WXH222,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXH222
38,WTH6871,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WTH6871
39,WB7878R,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB7878R
40,WUF2010,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUF2010
41,WB9111P,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB9111P
42,W9382K,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W9382K
43,WLR8321,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WLR8321
44,NDA5633,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NDA5633
45,WC5591Q,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC5591Q
46,WQN9019,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQN9019
47,JRY8286,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JRY8286
